hjd,camera,mag,mag_err,flux,flux_err
2457982.95656,ba,12.401,0.02,42.012,0.773
2457270.90927,ba,12.341,0.02,44.422,0.817
2457328.73284,ba,12.335,0.02,44.667,0.822
2457136.07155,ba,12.335,0.02,44.65,0.822
2457131.12025,ba,12.35,0.02,44.062,0.811
2457308.79691,ba,12.345,0.02,44.25,0.814
2458332.93663,ba,12.385,0.02,42.647,0.785
2458369.83934,ba,12.426,0.02,41.087,0.756
2457483.12067,ba,12.358,0.02,43.728,0.805
2458309.04529,ba,12.347,0.02,44.17,0.813
2457132.10282,ba,12.415,0.02,41.474,0.763
2457104.12062,ba,12.353,0.02,43.91,0.808
2458310.94573,ba,12.355,0.02,43.856,0.807
2457877.00878,ba,12.414,0.02,41.515,0.764
2457898.08062,ba,12.348,0.02,44.127,0.812
2457138.07727,ba,12.386,0.02,42.616,0.784
2457697.72,ba,12.344,0.02,44.289,0.815
2457848.12077,ba,12.368,0.02,43.339,0.797
2457242.9929,ba,12.33,0.02,44.873,0.826
2457215.89175,ba,12.355,0.02,43.833,0.807
2458416.75781,ba,12.357,0.02,43.775,0.805
2457202.98469,ba,12.333,0.02,44.725,0.823
2458392.82198,ba,12.407,0.02,41.776,0.769
2457209.96419,ba,12.377,0.02,42.97,0.791
2457661.77864,ba,12.36,0.02,43.628,0.803
2456894.85663,ba,12.356,0.02,43.789,0.806
2456897.92934,ba,12.334,0.02,44.707,0.823
2457218.9577,ba,12.339,0.02,44.477,0.818
2457501.02895,ba,12.337,0.02,44.585,0.82
2457968.85392,ba,12.391,0.02,42.4,0.78
2456920.81854,ba,12.349,0.02,44.095,0.811
2457910.01008,ba,12.366,0.02,43.393,0.798
2457885.02169,ba,12.328,0.02,44.968,0.827
2458019.85783,ba,12.364,0.02,43.5,0.8
2457852.07269,ba,12.333,0.02,44.754,0.823
2456778.06737,ba,12.349,0.02,44.093,0.811
2457324.74991,ba,12.332,0.02,44.777,0.824
2457176.96842,ba,12.34,0.02,44.434,0.818
2457929.98749,ba,12.358,0.02,43.721,0.804
2457988.93951,ba,12.39,0.02,42.455,0.781
2456888.87702,ba,12.372,0.02,43.167,0.794
2456887.89106,ba,12.329,0.02,44.893,0.826
2456919.82997,ba,12.365,0.02,43.431,0.799
2458347.86485,ba,12.314,0.02,45.528,0.838
2458371.84555,ba,12.344,0.02,44.283,0.815
2456849.07344,ba,12.345,0.02,44.233,0.814
2457546.99121,ba,12.342,0.02,44.356,0.816
2457172.93157,ba,12.339,0.02,44.505,0.819
2458261.9754,ba,12.354,0.02,43.883,0.807
2458384.71916,ba,12.339,0.02,44.509,0.819
2458021.86669,ba,12.351,0.02,43.997,0.81
2457264.90075,ba,12.315,0.02,45.495,0.837
2458249.0374,ba,12.376,0.02,42.985,0.791
2458430.70794,ba,12.325,0.02,45.084,0.83
2457548.01095,ba,12.355,0.02,43.836,0.807
2457904.93383,ba,12.367,0.02,43.361,0.798
2456815.9832,ba,12.346,0.02,44.204,0.813
2457871.07977,ba,12.359,0.02,43.676,0.804
2458376.86487,ba,12.359,0.02,43.692,0.804
2458017.85934,ba,12.382,0.02,42.76,0.787
2457688.73136,ba,12.364,0.02,43.501,0.8
2457201.87481,ba,12.333,0.02,44.734,0.823
2457512.10516,ba,12.349,0.02,44.073,0.811
2456593.7273,ba,12.357,0.02,43.782,0.806
2457979.79456,ba,12.367,0.02,43.369,0.798
2458313.02553,ba,12.326,0.02,45.015,0.828
2458184.14368,ba,12.377,0.02,42.968,0.791
2457574.04582,ba,12.328,0.02,44.947,0.827
2456889.87625,ba,12.348,0.02,44.145,0.812
2457831.13118,ba,12.414,0.02,41.539,0.764
2457506.04198,ba,12.345,0.02,44.261,0.814
2456917.83987,ba,12.355,0.02,43.859,0.807
2457314.78602,ba,12.354,0.02,43.897,0.808
2458291.03335,ba,12.359,0.02,43.676,0.804
2457250.881,ba,12.294,0.02,46.366,0.853
2457894.05965,ba,12.407,0.02,41.782,0.769
2458284.95098,ba,12.345,0.02,44.235,0.814
2457196.86972,ba,12.35,0.02,44.052,0.811
2457913.99204,ba,12.374,0.02,43.101,0.793
2458008.88145,ba,12.461,0.02,39.766,0.732
2456890.87352,ba,12.326,0.02,45.033,0.829
2457110.10367,ba,12.34,0.02,44.462,0.818
2457817.14713,ba,12.385,0.02,42.644,0.785
2458362.94481,ba,12.356,0.02,43.803,0.806
2457538.09025,ba,12.333,0.02,44.732,0.823
2456896.86443,ba,12.356,0.02,43.813,0.806
2457687.75502,ba,12.39,0.02,42.468,0.781
2457921.10131,ba,12.369,0.02,43.301,0.797
2457304.82722,ba,12.344,0.02,44.273,0.815
2457618.92877,ba,12.348,0.02,44.133,0.812
2457530.05237,ba,12.355,0.02,43.854,0.807
2457992.87065,ba,12.361,0.02,43.601,0.802
2456811.99239,ba,12.347,0.02,44.158,0.813
2457543.01614,ba,12.354,0.02,43.901,0.808
2457309.77732,ba,12.455,0.02,39.986,0.736
2457500.03246,ba,12.362,0.02,43.565,0.802
2457905.92122,ba,12.364,0.02,43.5,0.8
2457695.7208,ba,12.345,0.02,44.23,0.814
2457248.98383,ba,12.338,0.02,44.524,0.819
2457975.77729,ba,12.35,0.02,44.062,0.811
2457974.96491,ba,12.351,0.02,43.998,0.81
2457274.89535,ba,12.34,0.02,44.44,0.818
2457680.74717,ba,12.36,0.02,43.663,0.803
2458321.84611,ba,12.354,0.02,43.89,0.808
2458033.76314,ba,12.361,0.02,43.616,0.803
2458260.94944,ba,12.456,0.02,39.942,0.735
2457818.14355,ba,12.359,0.02,43.686,0.804
2457847.08251,ba,12.365,0.02,43.423,0.799
2457539.03001,ba,12.433,0.02,40.814,0.751
2457669.78886,ba,12.338,0.02,44.519,0.819
2456898.93588,ba,12.344,0.02,44.301,0.815
2458338.99076,ba,12.331,0.02,44.818,0.825
2458335.93266,ba,12.354,0.02,43.888,0.808
2457318.73379,ba,12.347,0.02,44.158,0.813
2457686.69807,ba,12.326,0.02,45.024,0.828
2457673.74411,ba,12.396,0.02,42.226,0.777
2457591.9069,ba,12.343,0.02,44.327,0.816
2457882.99393,ba,12.348,0.02,44.116,0.812
2457246.97543,ba,12.38,0.02,42.832,0.788
2458427.72421,ba,12.324,0.02,45.125,0.83
2457893.05538,ba,12.347,0.02,44.17,0.813
2457243.95084,ba,12.463,0.02,39.687,0.73
2457702.70303,ba,12.362,0.02,43.557,0.801
2457321.75531,ba,12.35,0.02,44.057,0.811
2456937.81889,ba,12.358,0.02,43.731,0.805
2457691.75126,ba,12.351,0.02,43.987,0.809
2457903.93108,ba,12.356,0.02,43.797,0.806
2456597.72497,ba,12.329,0.02,44.9,0.826
2457184.07306,ba,12.368,0.02,43.338,0.797
2456942.7876,ba,12.344,0.02,44.289,0.815
2457255.94581,ba,12.354,0.02,43.902,0.808
2458029.81248,ba,12.364,0.02,43.491,0.8
2457296.83722,ba,12.316,0.02,45.455,0.836
2457938.86533,ba,12.368,0.02,43.316,0.797
2457133.0633,ba,12.343,0.02,44.345,0.816
2456828.96772,ba,12.362,0.02,43.562,0.802
2457828.1303,ba,12.35,0.02,44.036,0.81
2457489.10119,ba,12.357,0.02,43.746,0.805
2457949.05682,ba,12.353,0.02,43.911,0.808
2457203.90819,ba,12.423,0.02,41.19,0.758
2458379.81633,ba,12.349,0.02,44.068,0.811
2457183.11491,ba,12.335,0.02,44.679,0.822
2458344.96946,ba,12.342,0.02,44.373,0.816
2456970.72137,ba,12.338,0.02,44.531,0.819
2457244.91696,ba,12.349,0.02,44.074,0.811
2457175.98383,ba,12.346,0.02,44.229,0.814
2458013.87012,ba,12.359,0.02,43.695,0.804
2457820.14018,ba,12.37,0.02,43.242,0.796
2457277.88035,ba,12.364,0.02,43.471,0.8
2457297.7925,ba,12.34,0.02,44.454,0.818
2456814.98,ba,12.351,0.02,43.994,0.809
2456893.9384,ba,12.351,0.02,44.017,0.81
2457926.98777,ba,12.337,0.02,44.583,0.82
2457558.87227,ba,12.364,0.02,43.494,0.8
2456829.96745,ba,12.356,0.02,43.824,0.806
2457311.78736,ba,12.342,0.02,44.364,0.816
2457305.80679,ba,12.354,0.02,43.892,0.808
2457884.00964,ba,12.336,0.02,44.604,0.821
2457585.78841,ba,12.338,0.02,44.544,0.82
2456737.10213,ba,12.343,0.02,44.341,0.816
2457106.11473,ba,12.37,0.02,43.244,0.796
2457960.8641,ba,12.331,0.02,44.835,0.825
2457580.98485,ba,12.346,0.02,44.217,0.814
2457532.97429,ba,12.346,0.02,44.194,0.813
2457575.98124,ba,12.369,0.02,43.282,0.796
2457238.00804,ba,12.368,0.02,43.323,0.797
2456881.85116,ba,12.335,0.02,44.655,0.822
2457222.91863,ba,12.336,0.02,44.62,0.821
2456891.8722,ba,12.349,0.02,44.102,0.811
2457200.85298,ba,12.401,0.02,42.012,0.773
2457109.10608,ba,12.365,0.02,43.436,0.799
2458281.89736,ba,12.346,0.02,44.22,0.814
2457997.84187,ba,12.344,0.02,44.287,0.815
2457870.10246,ba,12.351,0.02,44.013,0.81
2457451.15057,ba,12.33,0.02,44.857,0.825
2457549.90109,ba,12.353,0.02,43.931,0.808
2456986.68683,ba,12.339,0.02,44.499,0.819
2457901.1043,ba,12.35,0.02,44.032,0.81
2457503.07133,ba,12.339,0.02,44.513,0.819
2457272.85137,ba,12.38,0.02,42.836,0.788
2457303.81129,ba,12.377,0.02,42.976,0.791
2457705.69855,ba,12.342,0.02,44.393,0.817
2457100.14682,ba,12.338,0.02,44.555,0.82
2456914.83636,ba,12.362,0.02,43.556,0.801
2456832.96159,ba,12.352,0.02,43.957,0.809
2457164.01759,ba,12.368,0.02,43.337,0.797
2457212.03899,ba,12.359,0.02,43.679,0.804
2457107.11184,ba,12.34,0.02,44.441,0.818
2456892.877,ba,12.355,0.02,43.846,0.807
2456922.82941,ba,12.363,0.02,43.508,0.801
2457895.07547,ba,12.321,0.02,45.232,0.832
2457493.0522,ba,12.395,0.02,42.247,0.777
2457229.98664,ba,12.367,0.02,43.351,0.798
2457677.71836,ba,12.328,0.02,44.941,0.827
2457900.09613,ba,12.398,0.02,42.13,0.775
2457333.71938,ba,12.345,0.02,44.245,0.814
2457167.95538,ba,12.363,0.02,43.504,0.8
2457263.92958,ba,12.412,0.02,41.596,0.765
2457450.15771,ba,12.421,0.02,41.27,0.759
2457209.0451,ba,12.345,0.02,44.263,0.814
